sk_tiempo,Fecha,Mes,Anio,Trimestre,DiaSemana,Temporada
177,2021-11-19,11,2021,4,6,2021/2022
178,2021-11-20,11,2021,4,7,2021/2022
179,2021-11-21,11,2021,4,1,2021/2022
180,2021-11-22,11,2021,4,2,2021/2022
181,2021-11-26,11,2021,4,6,2021/2022
182,2021-11-27,11,2021,4,7,2021/2022
183,2021-11-28,11,2021,4,1,2021/2022
184,2021-11-29,11,2021,4,2,2021/2022
185,2021-12-01,12,2021,4,4,2021/2022
186,2021-12-03,12,2021,4,6,2021/2022
187,2021-12-04,12,2021,4,7,2021/2022
188,2021-12-05,12,2021,4,1,2021/2022
189,2021-12-06,12,2021,4,2,2021/2022
190,2021-12-10,12,2021,4,6,2021/2022
191,2021-12-11,12,2021,4,7,2021/2022
192,2021-12-12,12,2021,4,1,2021/2022
193,2021-12-13,12,2021,4,2,2021/2022
194,2021-12-17,12,2021,4,6,2021/2022
195,2021-12-18,12,2021,4,7,2021/2022
196,2021-12-19,12,2021,4,1,2021/2022
197,2021-12-20,12,2021,4,2,2021/2022
198,2021-12-21,12,2021,4,3,2021/2022
199,2021-12-22,12,2021,4,4,2021/2022
200,2021-12-31,12,2021,4,6,2021/2022
201,2022-01-02,1,2022,1,1,2021/2022
202,2022-01-03,1,2022,1,2,2021/2022
203,2022-01-08,1,2022,1,7,2021/2022
204,2022-01-09,1,2022,1,1,2021/2022
205,2022-01-10,1,2022,1,2,2021/2022
206,2022-01-16,1,2022,1,1,2021/2022
207,2022-01-18,1,2022,1,3,2021/2022
208,2022-01-19,1,2022,1,4,2021/2022
209,2022-01-20,1,2022,1,5,2021/2022
210,2022-01-21,1,2022,1,6,2021/2022
211,2022-01-22,1,2022,1,7,2021/2022
212,2022-01-23,1,2022,1,1,2021/2022
213,2022-02-04,2,2022,1,6,2021/2022
214,2022-02-05,2,2022,1,7,2021/2022
215,2022-02-06,2,2022,1,1,2021/2022
216,2022-02-07,2,2022,1,2,2021/2022
217,2022-02-11,2,2022,1,6,2021/2022
218,2022-02-12,2,2022,1,7,2021/2022
219,2022-02-13,2,2022,1,1,2021/2022
220,2022-02-14,2,2022,1,2,2021/2022
221,2022-02-16,2,2022,1,4,2021/2022
222,2022-02-18,2,2022,1,6,2021/2022
223,2022-02-19,2,2022,1,7,2021/2022
224,2022-02-20,2,2022,1,1,2021/2022
225,2022-02-21,2,2022,1,2,2021/2022
226,2022-02-25,2,2022,1,6,2021/2022
227,2022-02-26,2,2022,1,7,2021/2022
228,2022-02-27,2,2022,1,1,2021/2022
229,2022-02-28,2,2022,1,2,2021/2022
230,2022-03-02,3,2022,1,4,2021/2022
231,2022-03-04,3,2022,1,6,2021/2022
232,2022-03-05,3,2022,1,7,2021/2022
233,2022-03-06,3,2022,1,1,2021/2022
234,2022-03-07,3,2022,1,2,2021/2022
235,2022-03-11,3,2022,1,6,2021/2022
236,2022-03-12,3,2022,1,7,2021/2022
237,2022-03-13,3,2022,1,1,2021/2022
238,2022-03-14,3,2022,1,2,2021/2022
239,2022-03-18,3,2022,1,6,2021/2022
240,2022-03-19,3,2022,1,7,2021/2022
241,2022-03-20,3,2022,1,1,2021/2022
242,2022-04-02,4,2022,2,7,2021/2022
243,2022-04-03,4,2022,2,1,2021/2022
244,2022-04-04,4,2022,2,2,2021/2022
245,2022-04-08,4,2022,2,6,2021/2022
246,2022-04-09,4,2022,2,7,2021/2022
247,2022-04-10,4,2022,2,1,2021/2022
248,2022-04-11,4,2022,2,2,2021/2022
249,2022-04-15,4,2022,2,6,2021/2022
250,2022-04-16,4,2022,2,7,2021/2022
251,2022-04-17,4,2022,2,1,2021/2022
252,2022-04-18,4,2022,2,2,2021/2022
253,2022-04-19,4,2022,2,3,2021/2022
254,2022-04-20,4,2022,2,4,2021/2022
255,2022-04-21,4,2022,2,5,2021/2022
256,2022-04-24,4,2022,2,1,2021/2022
