sk_partido,Fecha,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSH,PSD,PSA,Prob_H,Prob_D,Prob_A,Margen_B365,Flag_Outlier_Cuota,Temporada,Mes,Anio,source_id,load_timestamp
127,2020-12-19,Barcelona,Valencia,2,2,D,1.3,6.0,8.5,1.33,5.94,9.43,0.7692,0.1667,0.1176,1.0535,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
128,2020-12-19,Levante,Sociedad,2,1,H,3.4,3.4,2.15,3.65,3.4,2.2,0.2941,0.2941,0.4651,1.0534,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
129,2020-12-19,Osasuna,Villarreal,1,3,A,3.6,3.4,2.1,3.77,3.42,2.15,0.2778,0.2941,0.4762,1.0481,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
130,2020-12-19,Sevilla,Valladolid,1,1,D,1.53,3.75,7.5,1.55,4.09,7.47,0.6536,0.2667,0.1333,1.0536,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
131,2020-12-20,Cadiz,Getafe,0,2,A,3.3,2.9,2.45,3.45,2.95,2.55,0.303,0.3448,0.4082,1.056,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
132,2020-12-20,Celta,Alaves,2,0,H,1.7,4.0,4.75,1.72,4.02,5.11,0.5882,0.25,0.2105,1.0488,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
133,2020-12-20,Eibar,Real Madrid,1,3,A,6.5,4.2,1.5,6.78,4.16,1.57,0.1538,0.2381,0.6667,1.0586,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
134,2020-12-20,Granada,Betis,2,0,H,2.45,3.4,2.87,2.62,3.41,2.87,0.4082,0.2941,0.3484,1.0507,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
135,2020-12-22,Elche,Osasuna,2,2,D,3.3,3.0,2.37,3.45,3.05,2.47,0.303,0.3333,0.4219,1.0583,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
136,2020-12-22,Huesca,Levante,1,1,D,2.62,3.4,2.6,2.76,3.38,2.75,0.3817,0.2941,0.3846,1.0604,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
137,2020-12-22,Sociedad,Ath Madrid,0,2,A,3.3,3.2,2.25,3.34,3.2,2.44,0.303,0.3125,0.4444,1.06,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
138,2020-12-22,Valencia,Sevilla,0,1,A,3.75,3.4,2.0,3.91,3.44,2.1,0.2667,0.2941,0.5,1.0608,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
139,2020-12-22,Valladolid,Barcelona,0,3,A,7.0,5.4,1.36,7.43,5.17,1.43,0.1429,0.1852,0.7353,1.0633,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
140,2020-12-22,Villarreal,Ath Bilbao,1,1,D,2.0,3.4,3.8,2.02,3.45,4.18,0.5,0.2941,0.2632,1.0573,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
141,2020-12-23,Alaves,Eibar,2,1,H,2.75,2.87,2.9,2.82,3.01,2.98,0.3636,0.3484,0.3448,1.0569,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
142,2020-12-23,Betis,Cadiz,1,0,H,1.9,3.5,4.1,1.95,3.45,4.52,0.5263,0.2857,0.2439,1.0559,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
143,2020-12-23,Getafe,Celta,1,1,D,2.75,3.0,2.8,2.77,3.18,2.71,0.3636,0.3333,0.3571,1.0541,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
144,2020-12-23,Real Madrid,Granada,2,0,H,1.33,5.25,9.0,1.33,5.72,9.9,0.7519,0.1905,0.1111,1.0535,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
145,2020-12-29,Barcelona,Eibar,1,1,D,1.28,5.75,9.5,1.28,6.16,10.3,0.7813,0.1739,0.1053,1.0604,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
146,2020-12-29,Cadiz,Valladolid,0,0,D,2.87,2.9,2.75,2.98,2.9,2.93,0.3484,0.3448,0.3636,1.0569,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
147,2020-12-29,Levante,Betis,4,3,H,2.4,3.4,2.9,2.52,3.51,2.94,0.4167,0.2941,0.3448,1.0556,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
148,2020-12-29,Sevilla,Villarreal,2,0,H,2.25,3.3,3.25,2.3,3.33,3.47,0.4444,0.303,0.3077,1.0552,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
149,2020-12-30,Ath Madrid,Getafe,1,0,H,1.44,4.2,8.5,1.47,4.29,9.0,0.6944,0.2381,0.1176,1.0502,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
150,2020-12-30,Celta,Huesca,2,1,H,1.75,3.75,4.6,1.78,3.81,5.0,0.5714,0.2667,0.2174,1.0555,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
151,2020-12-30,Elche,Real Madrid,1,1,D,10.0,6.5,1.25,10.93,6.05,1.29,0.1,0.1538,0.8,1.0538,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
152,2020-12-30,Granada,Valencia,2,1,H,2.2,3.3,3.4,2.29,3.47,3.36,0.4545,0.303,0.2941,1.0517,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
153,2020-12-31,Ath Bilbao,Sociedad,0,1,A,3.0,3.2,2.5,3.06,3.22,2.6,0.3333,0.3125,0.4,1.0458,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
154,2020-12-31,Osasuna,Alaves,1,1,D,2.35,3.25,3.1,2.42,3.33,3.24,0.4255,0.3077,0.3226,1.0558,0,2020/2021,12,2020,football-data.co.uk,2026-05-22 12:09:26.222082
