sk_partido,Fecha,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSH,PSD,PSA,Prob_H,Prob_D,Prob_A,Margen_B365,Temporada,Mes,Anio,source_id,load_timestamp
220,2021-02-13,Barcelona,Alaves,5,1,H,1.28,6.0,9.0,1.3,6.12,10.63,0.7813,0.1667,0.1111,1.059,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
221,2021-02-14,Getafe,Sociedad,0,1,A,3.75,3.25,2.1,3.99,3.3,2.13,0.2667,0.3077,0.4762,1.0505,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
222,2021-02-14,Real Madrid,Valencia,2,0,H,1.4,4.75,8.0,1.45,4.87,7.71,0.7143,0.2105,0.125,1.0498,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
223,2021-02-14,Levante,Osasuna,0,1,A,2.25,3.2,3.4,2.38,3.2,3.45,0.4444,0.3125,0.2941,1.0511,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
224,2021-02-14,Villarreal,Betis,1,2,A,1.9,3.4,4.2,1.99,3.41,4.37,0.5263,0.2941,0.2381,1.0585,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
225,2021-02-15,Cadiz,Ath Bilbao,0,4,A,4.0,3.1,2.05,4.03,3.31,2.12,0.25,0.3226,0.4878,1.0604,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
226,2021-02-17,Levante,Ath Madrid,1,1,D,4.75,3.4,1.8,5.02,3.44,1.88,0.2105,0.2941,0.5556,1.0602,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
227,2021-02-19,Betis,Getafe,1,0,H,2.05,3.1,4.1,2.05,3.26,4.38,0.4878,0.3226,0.2439,1.0543,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
228,2021-02-20,Elche,Eibar,1,0,H,3.6,3.25,2.15,3.85,3.31,2.17,0.2778,0.3077,0.4651,1.0506,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
229,2021-02-20,Ath Madrid,Levante,0,2,A,1.53,4.0,7.0,1.56,4.03,7.27,0.6536,0.25,0.1429,1.0465,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
230,2021-02-20,Valencia,Celta,2,0,H,2.45,3.2,3.0,2.52,3.28,3.12,0.4082,0.3125,0.3333,1.054,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
231,2021-02-20,Valladolid,Real Madrid,0,1,A,5.5,4.2,1.57,6.37,4.04,1.61,0.1818,0.2381,0.6369,1.0569,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
232,2021-02-21,Barcelona,Cadiz,1,1,D,1.16,8.0,13.0,1.17,8.23,17.86,0.8621,0.125,0.0769,1.064,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
233,2021-02-21,Sociedad,Alaves,4,0,H,1.66,3.75,5.5,1.67,3.67,6.57,0.6024,0.2667,0.1818,1.0509,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
234,2021-02-21,Huesca,Granada,3,2,H,2.15,3.3,3.5,2.21,3.25,3.81,0.4651,0.303,0.2857,1.0539,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
235,2021-02-21,Ath Bilbao,Villarreal,1,1,D,2.45,3.2,3.0,2.6,3.15,3.12,0.4082,0.3125,0.3333,1.054,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
236,2021-02-22,Osasuna,Sevilla,0,2,A,4.0,3.3,2.0,4.63,3.26,2.0,0.25,0.303,0.5,1.053,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
237,2021-02-24,Barcelona,Elche,3,0,H,1.12,9.0,19.0,1.13,9.51,21.25,0.8929,0.1111,0.0526,1.0566,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
238,2021-02-26,Levante,Ath Bilbao,1,1,D,3.3,3.25,2.25,3.47,3.37,2.29,0.303,0.3077,0.4444,1.0552,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
239,2021-02-27,Eibar,Huesca,1,1,D,2.15,3.3,3.5,2.22,3.36,3.64,0.4651,0.303,0.2857,1.0539,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
240,2021-02-27,Sevilla,Barcelona,0,2,A,3.2,3.5,2.2,3.31,3.58,2.27,0.3125,0.2857,0.4545,1.0528,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
241,2021-02-27,Alaves,Osasuna,0,1,A,2.62,2.9,3.0,2.79,3.02,3.01,0.3817,0.3448,0.3333,1.0598,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
242,2021-02-27,Getafe,Valencia,3,0,H,2.5,3.0,3.1,2.66,2.95,3.25,0.4,0.3333,0.3226,1.0559,2020/2021,2,2021,football-data.co.uk,2026-05-11 11:53:34.057291
